bill date,rate/kwh,kwh_used,System Loss Charge
Sep-18,6.1579,159,103.08
Jan-20,6.1579,99,60.36
Sep-21,6.1615,109,63.2
Jan-22,6.1615,99,50.7
Mar-22,6.9835,103,61
May-22,6.9835,155,87.51
Jul-22,6.9835,118,67.64
Aug-22,6.9835,112,65.24
Sep-22,6.9835,77,44.34
Nov-22,6.9835,77,45.87
Dec-22,6.9835,92,55.73
Jan-23,6.9835,128,78.04
Feb-23,6.9835,82,50.76
Mar-23,6.9835,80,49.78
Apr-23,6.9835,105,
May-23,7.6411,87,58.83
Jun-23,7.6411,98,85.25
Jul-23,7.6411,115,82.78
Aug-23,7.6411,113,80.3
Sep-23,7.6411,110,
Oct-23,7.6411,119,
Nov-23,7.6411,92,
